DisplayName                                                                                         |Version             |Publisher                     |InstallDate
Microsoft Windows Desktop Targeting Pack - 6.0.11 (x64)                                             |48.47.50419         |Microsoft Corporation         |20221124
Microsoft ASP.NET Core 6.0.11 Shared Framework (x64)                                                |6.0.11.22523        |Microsoft Corporation         |20221124
Microsoft .NET 6.0 Templates 7.0.100 (x64)                                                          |24.7.57200          |Microsoft Corporation         |20221124
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                                          |12.0.40664          |Microsoft Corporation         |20230414
Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)                                                        |16.0.0              |Microsoft Corporation         |20221124
IIS 10.0 Express                                                                                    |10.0.06614          |Microsoft Corporation         |20221124
vs_minshellinteropx64msi                                                                            |17.4.33006          |Microsoft Corporation         |20221124
Bonjour                                                                                             |3.1.0.1             |Apple Inc.                    |20230414
Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)                                                      |12.3.0              |Microsoft Corporation         |20221124
Python 3.11.1 Add to Path (64-bit)                                                                  |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Core Interpreter (64-bit)                                                             |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Documentation (64-bit)                                                                |3.11.1150.0         |Python Software Foundation    |20230127
Python 3.11.1 Tcl/Tk Support (64-bit)                                                               |3.11.1150.0         |Python Software Foundation    |20230127
Intel® PROSet/Wireless WiFi Software                                                                |21.40.1.3406        |Intel Corporation             |20221101
Microsoft .NET Targeting Pack - 6.0.11 (x64)                                                        |48.47.50420         |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)                                                       |16.0.0              |Microsoft Corporation         |20221124
Microsoft Visual Studio Installer                                                                   |3.6.2115.31769      |Microsoft Corporation         |20221124
Intel(R) Management Engine Components                                                               |1.0.0.0             |Intel Corporation             |20181012
VS JIT Debugger                                                                                     |17.0.118.0          |Microsoft Corporation         |20230626
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)                                                |15.4.0              |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 7.0.0 (x64_arm)                                                       |56.3.50341          |Microsoft Corporation         |20221124
icecap_collection_x64                                                                               |17.4.33006          |Microsoft Corporation         |20221124
Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)                                                       |7.0.49              |Microsoft Corporation         |20221124
Office 16 Click-to-Run Licensing Component                                                          |16.0.16501.20152    |Microsoft Corporation         |20230619
Office 16 Click-to-Run Extensibility Component                                                      |16.0.16501.20152    |Microsoft Corporation         |20230619
Office 16 Click-to-Run Localization Component                                                       |16.0.16501.20152    |Microsoft Corporation         |20230619
Microsoft Azure Authoring Tools - v2.9.7                                                            |2.9.8999.45         |Microsoft Corporation         |20221124
Microsoft .NET AppHost Pack - 7.0.0 (x64)                                                           |56.3.50341          |Microsoft Corporation         |20221124
Microsoft ODBC Driver 17 for SQL Server                                                             |17.7.2.1            |Microsoft Corporation         |20221124
Python 3.11.1 Development Libraries (64-bit)                                                        |3.11.1150.0         |Python Software Foundation    |20230127
Microsoft .NET AppHost Pack - 7.0.0 (x64_x86)                                                       |56.3.50341          |Microsoft Corporation         |20221124
vs_communityx64msi                                                                                  |17.4.33006          |Microsoft Corporation         |20221124
Microsoft .NET 7.0 Templates 7.0.100 (x64)                                                          |28.5.24432          |Microsoft Corporation         |20221124
Microsoft .NET Runtime - 7.0.0 (x64)                                                                |56.3.50341          |Microsoft Corporation         |20221124
